분야,사업내용,사업기간,직접수행,지자체보조,민간보조,출연,위탁,융자,지방비매칭,시행주체,지방비매칭여부,사업비,단위사업명,경비내역1,경비내역1사업비,경비내역2,경비내역2사업비,경비내역3,경비내역3사업비,경비내역4,경비내역4사업비,경비내역5,경비내역5사업비,경비내역6,경비내역6사업비,경비내역7,경비내역7사업비,경비내역8,경비내역8사업비,출처파일,매칭패턴,주요부처,사업비규모,사업유형,지역관련성,민간참여도,성과계획서매칭,해당_성과계획서_파일,PDF_매칭여부,PDF_사업명,PDF_예산_억원,PDF_예산_백만원,예산_검증상태,예산_오차율,PDF_출처페이지,예산_숫자,경북관련도점수,경북관련성_최종
,"자치단체의 지역에 맞는 일자리 창출 지원, 지역고용 인프라 확충",계속사업,Y,Y,Y,Y,N,N,Y,"국가, 지자체, 산업별인적자원개발위원회",300억원,"157,208,000천원",지역산업맞춤형일자리지원,지역산업맞춤형일자리지원,"125,108,000천원",855) 지역지원계정 세 출 합 계,"157,208,000천원",000 -,130천원,관(부문),202천원,6 예산안,202천원,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,"지자체보조, 지방비매칭",국가기관,대규모(1000억원 이상),인프라/건설,지역특화,공공주도,부분매칭,,No,,0.0,0,,0.0,0,157208000,99.00000000000001,C급_정책참고
,노후공단 재정비 및 산업단지 개발지원,계속사업,Y,Y,Y,N,N,N,Y,"국가, 지자체, 민간 6. 지방비매칭  277.64억원",277.64억원,"698,052,000천원",산업단지 개발지원,산업단지 개발지원,"298,000천원",부처연계형노후산단개발,"27,764,000천원",산업단지진입도,"176,249,000천원",캠퍼스 혁신파크조성,"14,150,000천원",,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,직접수행,국가기관,대규모(1000억원 이상),R&D/연구개발,지역특화,관민협력(3자),부분매칭,,No,,0.0,0,,0.0,0,698052000,99.00000000000001,C급_정책참고
,지역 주력산업지원을 통한 지역경제 활성화,계속사업,Y,Y,Y,Y,N,N,Y,중소기업기술정보진흥원,60억원,"235,017,000천원",지역산업경쟁력,산학연CollaboR&D(R&D),"39,420,000천원",지역산업경쟁력,"185,413,000천원",중소기업기술정보진흥원 기획평가관리비(지특)(R&D),"7,586,000천원",,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 4권.txt,"직접수행, 지자체보조, 민간보조, 출연, 지방비매칭",중소벤처기업부,대규모(1000억원 이상),지원/보조,지역특화,공공주도,매칭가능,[28]2026년도 성과계획서_중소벤처기업부.pdf,No,,0.0,0,,0.0,0,235017000,96.0,C급_정책참고
,지역 주력산업지원을 통한 지역경제 활성화,계속사업,Y,Y,Y,Y,N,N,Y,"국가, 지자체, 민간, 중소기업기술정보진흥원 등",60억원,"289,133,000천원",지역특화산업육성,지역특화산업육성,"84,681,000천원",지역혁신선도기업육성(R&D),"96,939,000천원",규제자유특구제,"49,604,000천원",중소기업 밀집지역 위기대응 기반구축,"3,793,000천원",,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 4권.txt,"민간보조, 출연",중소벤처기업부,대규모(1000억원 이상),지원/보조,지역특화,관민협력(3자),매칭가능,[28]2026년도 성과계획서_중소벤처기업부.pdf,No,,0.0,0,,0.0,0,289133000,96.0,C급_정책참고
,지식재산 전문인력양성 중점대학 등 운영,계속사업,N,N,Y,Y,N,N,N,중소기업기술정보진흥원,,"782,897,000천원",지역특화산업육성(세종),지역특화산업육성(세종),"2,596,000천원",전통시장및중소 -,"780,000천원",대학 지식재산,"7,220,000천원",특 허 청 -,137천원,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 4권.txt,민간보조,중소벤처기업부,대규모(1000억원 이상),교육/인재양성,일반,공공주도,매칭가능,[28]2026년도 성과계획서_중소벤처기업부.pdf,No,,0.0,0,,0.0,0,782897000,96.0,C급_정책참고
,전국 지하수 및 토양오염관리 등,계속사업,Y,Y,N,Y,N,N,Y,"국가, 한국환경산업기술원",143억원,"169,761,000천원",토양환경보전대책,토양환경보전대책,"11,528,000천원",지방상수도 관리,"26,517,000천원",군사기지환경관리및정화사업,"9,459,000천원",물공급 취약지역 지하수저류댐관리 기술개발(R&D),"5,900,000천원",,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,"직접수행, 지자체보조, 출연, 지방비매칭",산업통상자원부,대규모(1000억원 이상),운영/관리,전국단위,공공주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,No,,0.0,0,,0.0,0,169761000,91.0,C급_정책참고
,자원순환 정책 기반 마련,계속사업,Y,Y,Y,Y,N,Y,Y,"국가, 한국환경산업기술원 등",4억원,"1,001,344,000천원",전국폐기물통계조사,이차전지 순환이용성 향상 기술개발(R&D),"8,900,000천원",친환경산업 육성,"652,191,000천원",태양광 패널 재활용 기술개발사업(R&D),"8,000,000천원",사용후 배터리 안전관리 및 재제조 유통순환 기술개발(R&,"6,200,000천원",전국폐기물통계조사,"2,429,000천원",자원순환정보시스템구축및운영(정보화),"8,755,000천원",,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,"직접수행, 지자체보조, 민간보조, 출연, 융자, 지방비매칭",산업통상자원부,대규모(1000억원 이상),정책/제도,전국단위,공공주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,No,,0.0,0,,0.0,0,1001344000,91.0,C급_정책참고
,국제협력담당관실 단위사업 신설,계속사업,Y,Y,Y,Y,N,N,Y,"국가, 민간, 한국환경산업기술원 등",189억원,"726,512,000천원",기후변화대응 환경협력,기후변화대응 환경협력,"2,215,000천원",국제협력강화사업(ODA),"1,522,000천원",지구환경금융부담금(ODA),"2,553,000천원",국제환경협력 및 지구보전,"4,777,000천원",지속가능발전 협력체계 구축,"1,286,000천원",국제환경협력 분담금(ODA),"6,079,000천원",,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,"직접수행, 지자체보조, 민간보조, 출연, 지방비매칭",산업통상자원부,대규모(1000억원 이상),국제협력,전국단위,관민협력(2자),매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,No,,0.0,0,,0.0,0,726512000,91.0,C급_정책참고
,자연자원의 이용,계속사업,Y,N,Y,Y,N,N,N,"국가, 한국환경산업기술원 등",,"7,147,611,000천원",유전자원정보관리,유전자원정보관리,"550,000천원",다부처 국가생명연구자원 선진화사업(R&D),"9,900,000천원",국립생태원 출연,"74,928,000천원",국립낙동강생물자원관 출연,"24,955,000천원",자연자원의 이용,"47,040,000천원",국립야생동물질병관리원 운영,"9,702,000천원",국립호남권 생물자원관 출연,"24,144,000천원",야생동물질병연구사업(R&D),"7,595,000천원",2. 2026년도 세입세출예산안사업별 설명서 5권.txt,"직접수행, 민간보조",산업통상자원부,대규모(1000억원 이상),운영/관리,전국단위,공공주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,No,,0.0,0,,0.0,0,7147611000,91.0,C급_정책참고
,디지털 중심 글로벌 환경규제 대응 솔루션 개발 및 확산,계속사업,N,N,N,Y,N,N,N,정보통신산업진흥원,,"8,539,449,000천원",디지털 중심 글로벌 환경규제 대응 솔루션 개발 및 확산,디지털 중심 글로벌 환경규제 대응 솔루션 개발 및 확산,"2,250,000천원",정보통신 기획평,"10,356,000천원",7600 연구개발기획평가,"10,356,000천원",,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 2권.txt,출연,기타,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭어려움,,No,,0.0,0,,0.0,0,8539449000,90.0,C급_정책참고
,국내 광통신 부품 중소기업 대상 상용화 및 실증 지원,계속사업,N,N,N,Y,N,N,N,한국지능정보사회진흥원,,"469,497,000천원",인터넷이용환경,지능정보 네트워크용 광통신 부품상용화 실증확산,"1,464,000천원",ICT산업기반확충,"4,551,000천원",2100 정보통신융합산업,"4,551,000천원",,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 2권.txt,출연,기타,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭어려움,,No,,0.0,0,,0.0,0,469497000,90.0,C급_정책참고
,폐산업시설 등 유휴공간 문화재생,계속사업,N,Y,N,N,N,N,Y,지자체,136.05억원,"225,643,000천원",폐산업시설 등 유휴공간 문화재생사업(지역자율),폐산업시설 등 유휴공간 문화재생사업(지역자율),"13,605,000천원",광역관광자원개,"187,777,000천원",관(부문),062천원,000 4100 관광진흥기반확충,"214,268,000천원",000 발 -,227천원,6 예산안,202천원,,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"지자체보조, 지방비매칭",지자체,대규모(1000억원 이상),인프라/건설,일반,공공주도,부분매칭,,No,,0.0,0,,0.0,0,225643000,90.0,C급_정책참고
,석탄산업유산의 보전 활용 및 지역활성화 연계기반 구축,계속사업,N,Y,N,Y,N,N,Y,산업연구원,35억원,"1,619,950,000천원",순직산업전사위령탑성역화사업,순직산업전사위령탑성역화사업,"3,500,000천원",지역산업경쟁력,"1,439,000천원",,,,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 4권.txt,출연,기타,대규모(1000억원 이상),인프라/건설,지역특화,공공주도,매칭어려움,,No,,0.0,0,,0.0,0,1619950000,90.0,C급_정책참고
,"자치단체의 지역에 맞는 일자리 창출 지원, 지역고용 인프라 확충",계속사업,N,Y,N,N,N,N,Y,지자체,151억원,"157,208,000천원",지역산업맞춤형일자리지원(자율),지역산업맞춤형일자리지원(자율),"60,025,000천원",지역자율계정 세 출 합 계,"60,025,000천원",000 -,128천원,관(부문),202천원,6 예산안,202천원,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,"지자체보조, 지방비매칭",지자체,대규모(1000억원 이상),인프라/건설,지역특화,공공주도,부분매칭,,No,,0.0,0,,0.0,0,157208000,90.0,C급_정책참고
,"자치단체의 지역에 맞는 일자리 창출 지원, 지역고용 인프라 확충, 지역고용위기 극복 지원",계속사업,Y,Y,Y,Y,N,N,Y,지자체,3.75억원,"403,403,000천원",지역산업맞춤형일자리지원(세종),지역산업맞춤형일자리지원(세종),"1,500,000천원",한국폴리텍대학,"357,799,000천원",세종특별자치시계정 세 출 합 계,"1,500,000천원",855) 지역균형발전특별회계 세 출 합 계,"240,986,000천원",000 -,133천원,) 장(분야),202천원,6 예산안,202천원,감 관(부문) 항(프로그램) 장(분야),080천원,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,"직접수행, 민간보조, 출연",지자체,대규모(1000억원 이상),인프라/건설,지역특화,공공주도,부분매칭,,No,,0.0,0,,0.0,0,403403000,90.0,C급_정책참고
,"안전한 화장실 조성, 옥외광고 규제개선 및 안전관리, 안전한 자전 거이용환경 구축 및 균형발전지원",계속사업,Y,Y,N,N,N,N,Y,"국가, 지자체",64.75억원,"79,942,000천원",지역발전활성화,지역발전활성화,"10,777,000천원",주한미군공여구,"79,942,000천원",000 역주변지역등지 원 -,76천원,관(부문),202천원,6 예산안,202천원,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"지자체보조, 지방비매칭",국가기관,대규모(1000억원 이상),인프라/건설,지역특화,공공주도,부분매칭,,No,,0.0,0,,0.0,0,79942000,88.0,C급_정책참고
,소득 및 일자리 창출을 위한 마을기업 육성 지원,계속사업,Y,Y,N,N,N,N,Y,"국가, 지자체",46.5억원,"3,409,707,000천원",마을기업육성사업,마을기업육성사업,"5,250,000천원",692) (-) 지역지원계정 세 출 합 계,"3,409,707,000천원",000 -,81천원,관(부문),202천원,6 예산안,202천원,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"지자체보조, 지방비매칭",국가기관,대규모(1000억원 이상),지원/보조,전국단위,공공주도,부분매칭,,No,,0.0,0,,0.0,0,3409707000,88.0,C급_정책참고
,신기술 및 장르별 콘텐츠산업 지원을 통한 경쟁력 강화,계속사업,Y,Y,Y,Y,N,N,Y,"국가, 지자체, 민간 6. 지방비매칭  407억원",407억원,"120,116,000천원",영상콘텐츠산업 육성,영상콘텐츠산업 육성,"86,531,000천원",음악산업 및 대중문화산업 육성,"77,958,000천원",게임산업육성,"74,952,000천원",문화콘텐츠산업,"120,116,000천원",신기술융합콘텐츠산업 육성,"43,166,000천원",한국콘텐츠진흥원 지원,"44,022,000천원",한국영상자료원 지원,"15,259,000천원",영상물등급위원회 지원,"6,296,000천원",2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"직접수행, 출연",국가기관,대규모(1000억원 이상),지원/보조,지역특화,관민협력(3자),부분매칭,,No,,0.0,0,,0.0,0,120116000,88.0,C급_정책참고
,아태지역의 기후정보 제공,계속사업,Y,N,N,Y,N,N,N,"국가, 한국기상산업기술원",,"22,211,000천원",기상산업 진흥,아태 기후정보서비스 및 연구개발(R&D),"6,163,000천원",기상산업 진흥,"16,896,000천원",416) 기상서비스 진흥,"22,211,000천원",416),1천원,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,"직접수행, 출연",산업통상자원부,대규모(1000억원 이상),기타,지역특화,공공주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,Yes,탄소산업진흥,47.575,47575,불일치,366.86,51,22211000,85.8,C급_정책참고
,한국환경산업기술원 및 한국환경공단 출연,계속사업,Y,Y,N,Y,N,N,Y,한국환경공단 등,62억원,"656,302,000천원",한국환경산업기술원 출연,한국환경산업기술원 출연,"64,858,000천원",한국환경공단 출연,"185,362,000천원",한국환경공단 대구경북환경본부 청사 신축,"1,500,000천원",지속가능발전위,"10,090,000천원",,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,"직접수행, 지자체보조, 지방비매칭",환경부,대규모(1000억원 이상),기타,일반,공공주도,매칭가능,[23]2026년도 성과계획서_환경부.pdf,No,,0.0,0,,0.0,0,656302000,84.0,C급_정책참고
,지역 SW산업기능지원,계속사업,N,Y,N,Y,N,N,Y,"지자체, 정보통신산업진흥원",9억원,"130,708,000천원",지역 디지털 기초체력 지원(지역지원),지역 디지털 기초체력 지원(지역지원),"20,518,000천원",스마트물류 기술 실증화,"2,160,000천원",광역경제권거점,"25,100,000천원",AI기반 어장 공간정보 빅데이터 플랫폼 구축 및 활용,"2,385,000천원",,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 2권.txt,출연,지자체,대규모(1000억원 이상),지원/보조,지역특화,공공주도,부분매칭,,No,,0.0,0,,0.0,0,130708000,80.0,C급_정책참고
,지역 SW산업기능지원,계속사업,N,Y,N,Y,N,N,Y,민간,900억원,"1,016,118,000천원",생산적정보문화,협업지능 피지컬AI 기반 SW플랫폼 연구개발 생태계 조성(,"40,000,000천원",지역거점AX혁신기술개발(R&D),"7,920,000천원",글로벌 실증(R&D),"40,000,000천원",R&D) -,176천원,관(부문),202천원,6 예산안,202천원,감 사 업 개 요 및 경 비 내 역 항(프로그램) 사업(단위사업),3천원,지역지원계정 세 출 합 계,"1,016,118,000천원",2. 2026년도 세입세출예산안사업별 설명서 2권.txt,"지자체보조, 지방비매칭",민간,대규모(1000억원 이상),지원/보조,지역특화,민간주도,매칭어려움,,No,,0.0,0,,0.0,0,1016118000,80.0,C급_정책참고
,세종지역 SW산업기능지원,계속사업,N,Y,N,Y,N,N,Y,"지자체, 정보통신산업진흥원",1억원,"1,186,154,000천원",지역 디지털 기초체력 지원(세종),지역 디지털 기초체력 지원(세종),"470,000천원",스마트화산업기,"2,600,000천원",지역주도디지털혁신지원(세종),"146,000천원",,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 2권.txt,"지자체보조, 지방비매칭",지자체,대규모(1000억원 이상),지원/보조,지역특화,공공주도,부분매칭,,No,,0.0,0,,0.0,0,1186154000,80.0,C급_정책참고
,"국내 중소,중견기업의 공정기술 고도화 지원으로 경쟁력 강화",계속사업,Y,N,N,Y,N,N,N,민간,,"1,069,423,000천원",우주전파환경연,항공우주부품공정고도화기술개발(R&D),"6,228,000천원",우주전파환경연,"13,806,000천원",장(분야),130천원,000 관(부문),131천원,방송통신,"13,806,000천원",000 1300 우주항공진흥,"13,806,000천원",,,,,2. 2026년도 세입세출예산안사업별 설명서 2권.txt,"직접수행, 출연",민간,대규모(1000억원 이상),지원/보조,일반,민간주도,매칭어려움,,No,,0.0,0,,0.0,0,1069423000,80.0,C급_정책참고
,"지역 거점형 콘텐츠기업 조성, 지역 콘텐츠산업 클러스터 조성 등",계속사업,N,Y,N,N,N,N,Y,지자체 6. 지방비매칭  311.16억원,311.16억원,"104,226,000천원",지역콘텐츠산업 균형발전 지원(자율),지역콘텐츠산업 균형발전 지원(자율),"6,599,000천원",공연 및 전통예,"6,615,000천원",1600 예술의 진흥 및 생활,"6,615,000천원",산업화 -,225천원,관(부문),202천원,6 예산안,202천원,감 사 업 개 요 및 경 비 내 역 항(프로그램) 사업(단위사업),1천원,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"지자체보조, 지방비매칭",지자체,대규모(1000억원 이상),지원/보조,지역특화,공공주도,부분매칭,,No,,0.0,0,,0.0,0,104226000,80.0,C급_정책참고
,직장인 점심값 부담완화 및 지역 외식산업 등 지역경제 활성화를 위해 점심비용 일부 지원,계속사업,N,Y,Y,N,N,Y,Y,"지자체, 민간",50억원,"8,603,194,000천원",양곡증권정리기금 전출,직장인 든든한 한끼,"7,948,000천원",847) 농림축산식품부 세 출 합 계,"6,487,141,000천원",500 -,294천원,) 장(분야) 관 항,202천원,6 예산안,202천원,감 2026 예산안,202천원,,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"지자체보조, 민간보조, 융자, 지방비매칭",지자체,대규모(1000억원 이상),지원/보조,지역특화,관민협력(2자),부분매칭,,No,,0.0,0,,0.0,0,8603194000,80.0,C급_정책참고
,"농촌융복합산업 및 로컬창업, 농촌관광 활성화를 통해 농촌경제 다각화",계속사업,N,Y,N,N,N,N,Y,지자체,0.9억원,"1,849,634,000천원",농촌경제활성화지원(세종),농촌경제활성화지원(세종),"177,000천원",농촌지역개발(세 -,"360,000천원",일반농산어촌개,"1,309,000천원",,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"지자체보조, 지방비매칭",지자체,대규모(1000억원 이상),지원/보조,일반,공공주도,부분매칭,,No,,0.0,0,,0.0,0,1849634000,80.0,C급_정책참고
,지역산업의 경쟁력강화 및 활성화 촉진,계속사업,N,Y,Y,N,N,N,Y,지자체,18억원,"1,265,415,000천원",지방주도형투자일자리지원(자율),지방주도형투자일자리지원(자율),"3,602,000천원",지역자율계정 세 출 합 계,"74,228,000천원",000 -,81천원,관(부문),202천원,6 예산안,202천원,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 4권.txt,민간보조,지자체,대규모(1000억원 이상),지원/보조,지역특화,공공주도,부분매칭,,No,,0.0,0,,0.0,0,1265415000,80.0,C급_정책참고
,최저임금 인상에 따른 영세기업 부담완화 및 고용유지 지원,계속사업,Y,N,Y,Y,N,N,N,"국가, 근로복지공단",,"1,012,830,000천원",일자리안정자금지원,일자리안정자금지원,"2,022,000천원",국민취업지원제,"1,012,830,000천원",,,,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,"직접수행, 출연",고용노동부,대규모(1000억원 이상),지원/보조,전국단위,공공주도,매칭가능,[24]2026년도 성과계획서_고용노동부.pdf,No,,0.0,0,,0.0,0,1012830000,80.0,C급_정책참고
,친환경양식육성 지역지원,계속사업,Y,Y,Y,N,N,N,Y,"국가, 지자체, 민간",206억원,"22,871,000천원",관상어산업육성(지원),관상어산업육성(지원),"745,000천원",친환경양식어업육성(지원),"37,268,000천원",수산자원관리,"22,871,000천원",,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"지자체보조, 지방비매칭",국가기관,대규모(1000억원 이상),지원/보조,지역특화,관민협력(3자),부분매칭,,No,,0.0,0,,0.0,0,22871000,79.2,C급_정책참고
